""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"1884"	0.003501834	0.187432	9
"1885"	0.05107293	0.1124454	9
"1886"	0.03144417	0.1373647	9
"1887"	0.03829359	0.1586553	9
"1890"	0.05936913	0.128028	9
"1892"	-0.04017066	0.1621541	9
"1893"	0.03754941	0.130695	9
"1894"	0.03568546	0.1448838	9
"1896"	0.01612273	0.1507207	9
"1897"	0.0702718	0.1507438	9
"1898"	0.003740088	0.1808404	9
"1899"	0.006591753	0.121488	9
"1900"	-0.02499289	0.1724535	9
"1901"	0.001508437	0.1632879	9
"1902"	0.01563154	0.1543092	9
"1903"	0.04674201	0.1313403	9
"1904"	0.03459726	0.1252385	9
"1905"	-0.06577849	0.1502426	9
"1906"	-0.06240668	0.1771604	9
"1907"	-0.04049576	0.1497578	9
"1908"	-0.003618576	0.131972	9
"1909"	0.000455217	0.1357977	9
"1910"	0.02370702	0.1880606	9
"1911"	-0.000275515	0.1716826	9
"1912"	0.009504094	0.1190295	9
"1914"	-0.01003343	0.1224208	9
"1915"	-0.005366263	0.1626266	9
"1917"	0.04545363	0.1809541	9
"1919"	-0.001821083	0.2019606	9
"1920"	-0.0234119	0.1425512	9
"1921"	0.04900691	0.1696369	9
"1922"	0.03243044	0.100195	9
"1923"	0.05895063	0.1280568	9
"1924"	0.06949017	0.1377641	9
"1925"	0.007615552	0.1564612	9
"1926"	0.01583059	0.1606599	9
"1927"	-0.05129109	0.1932977	9
"1928"	0.02494878	0.1429587	9
"1929"	-0.008493256	0.1664641	9
"1930"	0.02771186	0.1267829	9
"1932"	-0.02097841	0.2017493	9
"1933"	0.02704157	0.1160265	9
"1934"	-0.07485376	0.1531158	9
"1935"	0.08013368	0.1589677	9
"1936"	0.02427475	0.1040041	9
"1938"	0.008142861	0.1051465	9
"1939"	0.08304338	0.1462459	9
"1942"	-0.004632774	0.1461657	9
"1944"	-0.001328899	0.162067	9
"1945"	-0.04757231	0.2135382	9
"1946"	-0.02437904	0.1359919	9
"1947"	-0.01939368	0.164648	9
"1948"	0.06593828	0.1854694	9
"1950"	0.01000429	0.119717	9
"1951"	0.0351586	0.14182	9
"1952"	0.02117901	0.1401282	9
"1955"	0.0264779	0.1578683	9
"1956"	0.06239204	0.1485486	9
"1957"	0.02343229	0.1993624	9
"1958"	0.001565918	0.1679746	9
"1959"	-0.001059715	0.1733298	9
"1960"	-0.002687705	0.1613795	9
"1961"	0.02162346	0.1102202	9
"1962"	0.02418234	0.1764046	9
"1963"	0.01428541	0.1981575	9
"1964"	-0.01112392	0.1485042	9
"1965"	0.03502711	0.1377837	9
"1966"	0.004821974	0.208677	9
